장소명,도로명주소,위도,경도,수정일시,지번주소
추말례 천연염색,,33.3067597,126.2155728,2025-09-18 16:38,제주특별자치도 제주시 한경면 조수리 3289-1
갈치어장,,33.3263109,126.845065,2025-09-18 08:53,제주특별자치도 서귀포시 표선면 표선리 45-4
우도검멀래해수욕장,제주특별자치도 서귀포시 평화로 267,33.4967868,126.9672386,2025-09-18 15:47,제주특별자치도 제주시 우도면 연평리
효섬마을초가집,제주특별자치도 제주시 명림로 241,33.4656592,126.6114282,2025-09-18 16:47,제주특별자치도 제주시 봉개동 234-236
아루미호텔,제주특별자치도 서귀포시 색달중앙로 38,33.2585486,126.4139527,2025-09-18 15:54,제주특별자치도 서귀포시 예래동 2284-1
다미안제과점,,33.2609039,126.5882194,2025-09-18 11:56,제주특별자치도 서귀포시 영천동 1083-1
제주마당(통갈치),제주특별자치도 제주시 원노형3길 15,33.4864381,126.4843724,2025-09-18 11:45,제주특별자치도 제주시 노형동 914-2
공항,제주특별자치도 제주시 다호북길 7,33.5030656,126.4954283,2025-09-18 11:24,제주특별자치도 제주시 용담2동 1611-2
제주시새우리,제주특별자치도 제주시 무근성7길 21,33.5146407,126.5204774,2025-09-18 17:13,제주특별자치도 제주시 삼도2동 1098-3
제주돗,,33.3329658,126.2309207,2025-09-18 22:07,제주특별자치도 제주시 한경면 조수리 254-4
조랑말타운,제주특별자치도 서귀포시 표선면 번영로 2486,33.4071123,126.7732639,2025-09-18 14:43,제주특별자치도 서귀포시 표선면 성읍리 2867
속소,제주특별자치도 제주시 북선로 125 크라운컨트리클럽,33.5267711,126.6960602,2025-09-18 13:22,제주특별자치도 제주시 조천읍 북촌리 산65
해군호텔,제주특별자치도 제주시 오일장서길 26,33.4423231,126.4442051,2025-09-18 20:09,제주특별자치도 제주시 애월읍 광령리 404-4
제주여객터미널,,33.5265622,126.5438488,2025-09-18 20:09,제주특별자치도 제주시 건입동 908-18
제주국제공항,제주특별자치도 제주시 공항로 2,33.5042493,126.4933476,2025-09-18 23:16,제주특별자치도 제주시 용담2동 1946
자매국수,제주특별자치도 제주시 삼성로11길 3-5,33.5085488,126.5326157,2025-09-18 17:33,제주특별자치도 제주시 일도2동 1034-4
일출다담팬션,제주특별자치도 서귀포시 일출로 270-2,33.4616819,126.9341535,2025-09-18 17:30,제주특별자치도 서귀포시 성산읍 성산리 136-7
오션블루호텔,제주특별자치도 서귀포시 이어도로 67,33.2388536,126.4304425,2025-09-18 17:33,제주특별자치도 서귀포시 중문동 2538
버드나무집,제주특별자치도 제주시 신북로 558,33.5414599,126.6674384,2025-09-18 00:39,제주특별자치도 제주시 조천읍 함덕리 1002-66
롯데오토렌트카,제주특별자치도 제주시 용해로 92,33.5090346,126.5030555,2025-09-18 03:09,제주특별자치도 제주시 용담2동 855
사려니숲길(붉은오름방면),제주특별자치도 서귀포시 이어도로 75 대포어촌횟집,33.3971445,126.6849058,2025-09-18 03:14,제주특별자치도 서귀포시 표선면 가시리 산158-2
자매국수,제주특별자치도 제주시 월랑로4길 6,33.4878087,126.4783894,2025-09-18 03:10,제주특별자치도 제주시 노형동 1279-1
대포어촌횟집,제주특별자치도 서귀포시 이어도로 75 대포어촌횟집,33.2385948,126.4311064,2025-09-18 03:12,제주특별자치도 서귀포시 중문동 2536
성산카베츠,제주특별자치도 서귀포시 일출로 264-4,33.4611116,126.9338836,2025-09-18 03:17,제주특별자치도 서귀포시 성산읍 성산리 141-1
관음사,제주특별자치도 제주시 산록북로 660,33.423193,126.558659,2025-09-18 15:15,제주특별자치도 제주시 아라동 산66-8
올레돔펜션,,33.3982124,126.8989932,2025-09-18 16:33,제주특별자치도 서귀포시 성산읍 온평리 1140-1
제주공항,제주특별자치도 제주시 다호6길 24,33.4988159,126.49669,2025-09-18 14:05,제주특별자치도 제주시 용담2동 1715-3
부두식당,제주특별자치도 제주시 애월로13길 21,33.4651649,126.320963,2025-09-18 19:13,제주특별자치도 제주시 애월읍 애월리 1736-2
제주시리우스호텔,제주특별자치도 제주시 도령로 133,33.493423,126.4909339,2025-09-18 15:25,제주특별자치도 제주시 연동 2334-4
일출랜드,,33.3821571,126.8392174,2025-09-18 14:08,제주특별자치도 서귀포시 성산읍 삼달리 1552
주상절리,제주특별자치도 제주시 성화로6길 51,33.2368856,126.4250945,2025-09-18 14:40,제주특별자치도 서귀포시 중문동
오설록티뮤지엄,제주특별자치도 서귀포시 글로벌에듀로 125,33.2986141,126.2863225,2025-09-18 13:08,제주특별자치도 서귀포시 대정읍 구억리 1067
우도,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,33.4943672,126.9578977,2025-09-18 16:17,제주특별자치도 제주시 우도면 연평리 1715-1
제주 스카이워터쇼,제주특별자치도 제주시 번영로 2172-80 제주아트랜드,33.4240123,126.7439007,2025-09-18 13:11,제주특별자치도 제주시 구좌읍 송당리 2764-1
섭지코지,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,33.4102331,126.9296776,2025-09-18 16:16,대한민국
성산일출봉,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,33.4501379,126.9134545,2025-09-18 16:15,제주특별자치도 서귀포시 성산읍 고성리 2747
만장굴,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,33.5157769,126.7749795,2025-09-18 16:16,제주특별자치도 제주시 구좌읍 행원리 산54
오설록티뮤지엄,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,33.2893626,126.2897569,2025-09-18 16:20,제주특별자치도 서귀포시 대정읍 구억리 산13-20
느영나영게스트하우스,제주특별자치도 서귀포시 신흥로13번길 23,33.3007146,126.7666841,2025-09-18 13:41,제주특별자치도 서귀포시 남원읍 신흥리 168-8
하늘이펜션,제주특별자치도 서귀포시 섭지코지로 169 제주오션스타 콘도미니엄,33.4994152,126.9444115,2025-09-18 17:24,제주특별자치도 제주시 우도면 연평리 2588
정방폭포,제주특별자치도 제주시 협재1길 53-5,33.2447021,126.5717701,2025-09-18 13:20,제주특별자치도 서귀포시 동홍동
섭지코지,제주특별자치도 서귀포시 신흥로13번길 23,33.4224906,126.9314894,2025-09-18 13:47,제주특별자치도 서귀포시 성산읍 고성리
우도,제주특별자치도 서귀포시 신흥로13번길 23,33.4903157,126.9648043,2025-09-18 13:51,제주특별자치도 제주시 우도면 연평리
간장남들,제주특별자치도 제주시 행원로 151,33.552124,126.8112,2025-09-18 14:00,제주특별자치도 제주시 구좌읍 행원리 784-1
아트스테이 호텔,,33.2454287,126.5667978,2025-09-18 10:01,제주특별자치도 서귀포시 정방동 163-1
하워드존슨연동호텔,제주특별자치도 제주시 사장1길 30 센트럴호텔,33.4853324,126.4924901,2025-09-18 19:50,제주특별자치도 제주시 연동 284-46
공항,제주특별자치도 제주시 공항로 2 국제공항,33.5063363,126.4930435,2025-09-18 19:54,제주특별자치도 제주시 용담2동 1462-1
귤사랑,제주특별자치도 서귀포시 호근북로 173,33.2715773,126.5323636,2025-09-18 00:09,제주특별자치도 서귀포시 대륜동 1067
독채펜션,,33.2736651,126.2390003,2025-09-18 00:18,제주특별자치도 서귀포시 대정읍 무릉리 425-7
쉬고팡,제주특별자치도 서귀포시 표선면 성읍정의현로33번길 7,33.3856552,126.8006526,2025-09-18 00:26,제주특별자치도 서귀포시 표선면 성읍리 842-1
서프라이즈테마파크,제주특별자치도 제주시 번영로 1118-33,33.4650905,126.6586548,2025-09-18 12:11,제주특별자치도 제주시 조천읍 와흘리 산13-85
현대관광호텔,제주특별자치도 제주시 신대로 68 현대호텔,33.4912989,126.4963629,2025-09-18 15:51,제주특별자치도 제주시 연동 301-3
제주미니랜드,제주특별자치도 제주시 비자림로 606,33.4332017,126.6744179,2025-09-18 13:42,제주특별자치도 제주시 조천읍 교래리 산56-4
옥만이네,제주특별자치도 제주시 한림해안로 160,33.4165636,126.2634626,2025-09-18 14:29,제주특별자치도 제주시 한림읍 한림리 1314-29
기원뚝배기,제주특별자치도 서귀포시 예래해안로 542,33.2551778,126.402869,2025-09-18 12:47,제주특별자치도 서귀포시 예래동 625
기원뚝배기,,33.2581663,126.4022796,2025-09-18 13:09,제주특별자치도 서귀포시 예래동 306
제주성안교회,제주특별자치도 제주시 중앙로 470 제주성안교회,33.4810768,126.5415523,2025-09-18 14:30,제주특별자치도 제주시 아라동 2349-1
제주국제공항,제주특별자치도 제주시 공항로 2,33.5067154,126.4929745,2025-09-18 03:30,제주특별자치도 제주시 용담2동 2002
제주광해 애월점,제주특별자치도 제주시 애월해안로 867,33.4877009,126.3903816,2025-09-18 19:45,제주특별자치도 제주시 애월읍 하귀2리 2740-8
성판악 입구,제주특별자치도 제주시 516로 1865,33.3848367,126.6198912,2025-09-18 03:37,제주특별자치도 제주시 조천읍 교래리 산137-24
제주,제주특별자치도 제주시 공항로 2,33.5087883,126.4950176,2025-09-18 04:24,제주특별자치도 제주시 용담2동 2002
제주항,,33.5246199,126.5379908,2025-09-18 10:24,제주특별자치도 제주시 건입동
일성 리조트,,33.4336535,126.7379624,2025-09-18 10:29,제주특별자치도 제주시 구좌읍 송당리 2635-11
제주공항-롯데렌터카,,33.5034997,126.4906002,2025-09-18 11:06,제주특별자치도 제주시 도두동 32
켄싱턴 리조트 서귀포,,33.2327276,126.4890002,2025-09-18 13:35,제주특별자치도 서귀포시 대천동 5647
바다요,제주특별자치도 제주시 해맞이해안로 9,33.5565443,126.7598986,2025-09-18 18:12,제주특별자치도 제주시 구좌읍 김녕리 497-4
김녕미로,제주특별자치도 제주시 해맞이해안로 9,33.5315306,126.7761368,2025-09-18 18:13,제주특별자치도 제주시 구좌읍 월정리 산35-28
제이힐호텔,제주특별자치도 서귀포시 천제연로188번길 11,33.2507189,126.4247003,2025-09-18 12:33,제주특별자치도 서귀포시 중문동 2050-1
제주공항,제주특별자치도 제주시 공항로 2,33.506749,126.4926727,2025-09-18 17:22,제주특별자치도 제주시 용담2동 2002
금오름,,33.3545562,126.305862,2025-09-18 20:05,제주특별자치도 제주시 한림읍 금악리 산1-1
구이사이 (점심),제주특별자치도 제주시 신엄9길 6,33.4724795,126.3684359,2025-09-18 17:23,제주특별자치도 제주시 애월읍 신엄리 1252-5
대평올레펜션,제주특별자치도 제주시 신엄9길 6,33.2378077,126.3620815,2025-09-18 17:27,제주특별자치도 서귀포시 안덕면 창천리 915
아이미제주비치호텔,제주특별자치도 제주시 조함해안로 474 제주비치,33.5434602,126.6633946,2025-09-18 16:58,제주특별자치도 제주시 조천읍 함덕리 1010
이시돌목장,,33.3480887,126.3277587,2025-09-18 20:12,제주특별자치도 제주시 한림읍 금악리 151-3
우편발송,제주특별자치도 제주시 해안마을길 76 해안초등학교,33.4583843,126.4626684,2025-09-18 17:50,제주특별자치도 제주시 노형동 670-5
어영공원,제주특별자치도 서귀포시 1100로 731-32 푸른목장,33.5173356,126.4862675,2025-09-18 18:54,제주특별자치도 제주시 용담2동 2396-16
배수경갈치요리전문점,제주특별자치도 서귀포시 일주서로 993,33.258344,126.4045709,2025-09-18 10:23,제주특별자치도 서귀포시 예래동 2088-1
아이미제주비치호텔,제주특별자치도 제주시 조함해안로 474 제주비치,33.543277,126.6634385,2025-09-18 10:40,제주특별자치도 제주시 조천읍 함덕리 1011
R&T호텔,제주특별자치도 제주시 중앙로14길 30-1,33.5111769,126.52116,2025-09-18 20:37,제주특별자치도 제주시 삼도2동 914
숙소,제주특별자치도 서귀포시 중산간동로 4821 해양경비안전서제주수련원,33.3766721,126.7912304,2025-09-18 15:49,제주특별자치도 서귀포시 표선면 성읍리 1332-2
서광뼈국수,제주특별자치도 서귀포시 중산간서로 1882,33.2891804,126.3218994,2025-09-18 20:01,제주특별자치도 서귀포시 안덕면 서광리 716-1
아쿠아비치호텔,제주특별자치도 서귀포시 일주동로 4258 아쿠아비치호텔,33.4482778,126.9118983,2025-09-18 20:48,제주특별자치도 서귀포시 성산읍 고성리 1090-16
제주 공항,제주특별자치도 제주시 신성마을길 43,33.4967527,126.4913951,2025-09-18 12:22,제주특별자치도 제주시 용담2동 1829-1
n109,제주특별자치도 제주시 김녕로 307,33.551806,126.7693621,2025-09-18 20:39,제주특별자치도 제주시 구좌읍 김녕리 109-1
제주공항 도착,,33.5014387,126.4926911,2025-09-18 16:13,제주특별자치도 제주시 용담2동 1940-1
항몽유적지,,33.4510217,126.4078895,2025-09-18 16:14,제주특별자치도 제주시 애월읍 상귀리 981-2
비자림,,33.4834598,126.806655,2025-09-18 13:33,제주특별자치도 제주시 구좌읍 평대리 산15
호텔 케니스토리,제주특별자치도 서귀포시 중앙로71번길 17 서귀포 가족호텔,33.2504014,126.559514,2025-09-18 11:30,제주특별자치도 서귀포시 천지동 308-2
큰엉 해안,제주특별자치도 서귀포시 태위로 536,33.274547,126.7063322,2025-09-18 11:46,제주특별자치도 서귀포시 남원읍 남원리 1409
광치기 해변,제주특별자치도 서귀포시 일출로 86,33.4501763,126.9212864,2025-09-18 11:49,제주특별자치도 서귀포시 성산읍 고성리 235
저녁식사,제주특별자치도 제주시 문교길 27 삼영노블리안아파트,33.4103,126.2628388,2025-09-18 23:07,제주특별자치도 제주시 한림읍 한림리 1535-1
소인국테마파크,제주특별자치도 서귀포시 일주동로 4146-20,33.2884116,126.3003247,2025-09-18 22:35,제주특별자치도 서귀포시 안덕면 서광리 1879-1
정방폭포,제주특별자치도 서귀포시 일주동로 4146-20,33.2442674,126.5726559,2025-09-18 22:41,제주특별자치도 서귀포시 송산동
공항,,33.5032857,126.4926697,2025-09-18 15:28,제주특별자치도 제주시 용담2동 1945-23
에어비앤비,제주특별자치도 서귀포시 서호호근로 76,33.2538198,126.5245467,2025-09-18 16:35,제주특별자치도 서귀포시 대륜동 308-2
with 친구,,33.2376624,126.559568,2025-09-18 16:41,제주특별자치도 서귀포시 천지동
제주공항,제주특별자치도 제주시 다호북길 7,33.4979138,126.5065112,2025-09-18 02:34,제주특별자치도 제주시 오라동 2319-18
공항,제주특별자치도 제주시 도령로 167,33.4952025,126.4924188,2025-09-18 02:34,제주특별자치도 제주시 용담2동 1819-1
제주국제공항,,33.5037137,126.4885307,2025-09-18 16:47,제주특별자치도 제주시 도두동 405-1
영실입구,제주특별자치도 서귀포시 영실로 246 영실매표소,33.3483119,126.4968655,2025-09-18 14:13,제주특별자치도 서귀포시 중문동 산1-1
영실입구,제주특별자치도 서귀포시 영실로 246 영실매표소,33.3483119,126.4968655,2025-09-18 14:13,제주특별자치도 서귀포시 중문동 산1-1
위세오름,제주특별자치도 제주시 애월읍 1100로 2070-510 윗세오름대피소,33.3615166,126.5181245,2025-09-18 14:14,제주특별자치도 제주시 애월읍 광령리 산183-6
어승락,제주특별자치도 제주시 1100로 2070-61 한라산국립공원관리사무소,33.3914625,126.4944778,2025-09-18 14:15,제주특별자치도 제주시 노형동 산220-13
윗세오름,제주특별자치도 제주시 애월읍 1100로 2070-510 윗세오름대피소,33.3616781,126.5180369,2025-09-18 14:16,제주특별자치도 제주시 애월읍 광령리 산183-6
영실입구,제주특별자치도 서귀포시 영실로 246 영실매표소,33.3483312,126.4965861,2025-09-18 14:16,제주특별자치도 서귀포시 중문동 산1-1
SK렌터카 제주점,제주특별자치도 제주시 일주서로 7582,33.4950669,126.4563303,2025-09-18 12:38,제주특별자치도 제주시 이호동 1575
중문 스테이,제주특별자치도 서귀포시 태평로442번길 9-7,33.2457374,126.5684544,2025-09-18 16:10,제주특별자치도 서귀포시 정방동 136
공학 도착,제주특별자치도 제주시 공항로 2,33.5071885,126.4934858,2025-09-18 19:26,제주특별자치도 제주시 용담2동 2002
제주공항 도착,제주특별자치도 제주시 공항로 2,33.5060363,126.4937576,2025-09-18 19:27,제주특별자치도 제주시 용담2동 1462
애월 한담 해안 산책로,제주특별자치도 제주시 공항로 2,33.4595588,126.3111998,2025-09-18 19:30,제주특별자치도 제주시 애월읍 애월리 2628
오셜록 티 뮤지엄,제주특별자치도 제주시 공항로 2,33.305147,126.2882085,2025-09-18 19:30,제주특별자치도 서귀포시 안덕면 서광리 산50-13
부영호텔 리조트,제주특별자치도 서귀포시 중문관광로 216 제주부영리조트,33.2416133,126.4226727,2025-09-18 19:32,제주특별자치도 서귀포시 중문동 2700-3
오설록,제주특별자치도 서귀포시 신화역사로 23,33.306045,126.2893817,2025-09-18 11:20,제주특별자치도 서귀포시 안덕면 서광리 1235-1
김정희 유배지,제주특별자치도 서귀포시 추사로 44,33.2501638,126.2783098,2025-09-18 11:21,제주특별자치도 서귀포시 대정읍 안성리 1661-1
방주교회,제주특별자치도 서귀포시 산록남로762번길 113,33.3050835,126.3874633,2025-09-18 11:23,제주특별자치도 서귀포시 안덕면 상천리 427
서귀포 천문과학관,제주특별자치도 서귀포시 1100로 506,33.2888127,126.460389,2025-09-18 11:25,제주특별자치도 서귀포시 중문동 산70
서귀포 농업 기술센터,제주특별자치도 서귀포시 태위로 536,33.2879847,126.6070903,2025-09-18 11:47,제주특별자치도 서귀포시 남원읍 남원리 1409
따라비 오름,제주특별자치도 서귀포시 일출로 86,33.3864573,126.7518975,2025-09-18 11:51,제주특별자치도 서귀포시 성산읍 성산리 1
메이즈 랜드,제주특별자치도 서귀포시 일출로 86,33.4879577,126.8010878,2025-09-18 11:54,제주특별자치도 서귀포시 성산읍 성산리 1
충민정,제주특별자치도 제주시 남성로 26,33.5024619,126.513159,2025-09-18 03:23,제주특별자치도 제주시 용담1동 2818-4
섭지코지,,33.4216966,126.936415,2025-09-18 03:36,대한민국
캐니스토리 호텔,제주특별자치도 제주시 도령로 124 제이케이 라마다 앙코르 제주 호텔,33.4922239,126.4905642,2025-09-18 12:19,제주특별자치도 제주시 연동 270-2
제주국제공항,,33.4961269,126.4996421,2025-09-18 15:31,제주특별자치도 제주시 연동 48
제주공항,제주특별자치도 제주시 노연로 132,33.4856355,126.4942519,2025-09-18 15:23,제주특별자치도 제주시 연동 294-5
제주공항,,33.4947198,126.4955247,2025-09-18 15:32,제주특별자치도 제주시 연동 122
북수구 공영주차장,,33.5146623,126.5280413,2025-09-18 19:41,제주특별자치도 제주시 일도1동 1230-5
골든튤립호텔,제주특별자치도 서귀포시 고성동서로 115,33.451672,126.9189633,2025-09-18 13:00,제주특별자치도 서귀포시 성산읍 오조리 57-35
별돈별,제주특별자치도 제주시 한경면 고산로8길 21-15,33.3086245,126.1801613,2025-09-18 16:49,제주특별자치도 제주시 한경면 고산리 2471
아트스테이함덕점,,33.5452461,126.652068,2025-09-18 16:50,제주특별자치도 제주시 조천읍 신흥리 189
갱이네보말칼국수,제주특별자치도 제주시 도남로 88,33.4926703,126.5280584,2025-09-18 11:30,제주특별자치도 제주시 이도2동 58-5
제주김만복 본점,제주특별자치도 제주시 오라로 41,33.496979,126.5089617,2025-09-18 11:34,제주특별자치도 제주시 오라동 2250-1
제주국제공항,제주특별자치도 제주시 공항로 2,33.506918,126.4927353,2025-09-18 15:44,제주특별자치도 제주시 용담2동 2002
11,제주특별자치도 제주시 공항로 2,33.5073258,126.4926229,2025-09-18 18:45,제주특별자치도 제주시 용담2동 2002
1,제주특별자치도 제주시 조함해안로 525,33.5432847,126.6714316,2025-09-18 18:46,제주특별자치도 제주시 조천읍 함덕리 산14-1
당케올레국수,제주특별자치도 서귀포시 동홍로 7,33.3252602,126.8431319,2025-09-18 22:23,제주특별자치도 서귀포시 표선면 표선리 2954-21
용두암,,33.515749,126.5119391,2025-09-18 13:45,제주특별자치도 제주시 용담2동 2580-54
만장굴,제주특별자치도 제주시 해맞이해안로 9,33.5280492,126.7709083,2025-09-18 13:47,제주특별자치도 제주시 구좌읍 월정리 산41-3
김녕 해안도로,제주특별자치도 제주시 해맞이해안로 9,33.5577677,126.7595822,2025-09-18 13:49,제주특별자치도 제주시 구좌읍 김녕리
미로공원,제주특별자치도 제주시 비자림로 2134-47 매이즈랜드,33.4876643,126.801702,2025-09-18 13:50,제주특별자치도 제주시 구좌읍 평대리 3322
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332 가람돌솥밥,33.2495663,126.4313129,2025-09-18 10:05,제주특별자치도 서귀포시 중문동 747-3
김만복김밥 애월점,제주특별자치도 제주시 애월해안로 255,33.4675366,126.3388382,2025-09-18 10:11,제주특별자치도 제주시 애월읍 고내리 1105-1
터닝포인트 제주호텔,제주특별자치도 서귀포시 일주동로 5199-13,33.3729092,126.872412,2025-09-18 16:08,제주특별자치도 서귀포시 성산읍 신산리 1183
공항,,33.4974327,126.4898439,2025-09-18 00:31,제주특별자치도 제주시 도두동 136
클랭블루,제주특별자치도 제주시 한경면 한경해안로 552-22,33.3448636,126.1772669,2025-09-18 22:51,제주특별자치도 제주시 한경면 신창리 1293-1
숙소,제주특별자치도 제주시 광상로 49-1,33.4453182,126.4250357,2025-09-18 00:46,제주특별자치도 제주시 애월읍 광령리 4206-2
중문카트,,33.2641367,126.3945174,2025-09-18 23:56,제주특별자치도 서귀포시 예래동 193-5
마가리따은혜씨,제주특별자치도 서귀포시 일출로 258-11 삼다식당,33.4610626,126.9343146,2025-09-18 15:19,제주특별자치도 서귀포시 성산읍 성산리 140-8
제주공항,제주특별자치도 제주시 공항로 2,33.5068723,126.4926582,2025-09-18 05:11,제주특별자치도 제주시 용담2동 2002
용두암해촌,제주특별자치도 제주시 서해안로 614,33.5169619,126.5026428,2025-09-18 05:15,제주특별자치도 제주시 용담2동 1026-3
