도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
내동평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,17086,4,95,5,14,경상남도 창원시 성산구 연덕로 184번길35,사)경남여성회,055-287-4114,,350,http://www.gnwomen.com,35.217411,128.6695108,2024-12-05
중앙평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,15,15308,4,44,5,14,경상남도 창원시 성산구 원이대로580번길 34,(사)지역문화공동체 경남정보사회연구소,055-263-4511,466,157,http://www.kisingo.or.kr,35.225211,128.677169,2024-12-05
상남평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,13:00,00:00,00:00,12,14122,6,64,3,14,경상남도 창원시 성산구 동산로 115,상남동주민자치위원회,055-264-0517,136,136,,35.21905622,128.6876162,2024-12-05
대방평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,26,16155,6,147,3,14,경상남도 창원시 성산구 대정로 142,책사랑창원지부,055-283-6558,,,,35.21014486,128.7092046,2024-12-05
사파평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,27,16758,5,423,2,14,경상남도 창원시 성산구 창이대로 706번길 16-23,창원YMCA,055-266-1158,,,,35.2218241,128.698221,2024-12-05
가음정평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,51,20834,27,323,5,14,"경상남도 창원시 성산구 원이대로 883번길 15-38(가음동,가음정민원센터 2층)",가음정동주민자치위원회,055-289-9155,683,355,,35.208574,128.6972162,2024-12-05
남산평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,19528,2,179,3,14,경상남도 창원시 성산구 가음로 92번길 6(가음동),(사)경남여성회,055-282-9605,840,358,,35.205109,128.702613,2024-12-05
남양평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,36,15591,27,0,5,14,경상남도 창원시 성산구 대정로84,희망나라,055-275-0307,1448,199,http://cafe.daum.net/mcwlnamyang,35.20919855,128.7006329,2024-12-05
성주평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,17:00,00:00,00:00,36,21982,8,72,3,14,경상남도 창원시 성산구 공단로 735(성주동),성주동주민자치위원회,055-286-5506,,,,35.18883925,128.6944966,2024-12-05
웅남평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:30,00:00,00:00,25,21186,9,107,2,14,경상남도 창원시 성산구 신촌로 50,웅남평생교육센터,055-286-5666,,150,,35.205316,128.627154,2024-12-05
용잠마을도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,18150,1,0,5,14,경상남도 창원시 의창구 동읍 용잠로 41,동읍주민자치회,055-253-9161,,227,,35.279752,128.688901,2024-12-05
자여마을도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,36,18399,3,80,5,14,경상남도 창원시 의창구 동읍 자여로 64,동읍주민자치회,055-291-0124,,77,,35.27732449,128.700235,2024-12-05
반딧불이도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,12:00,00:00,00:00,30,15543,0,0,5,14,경상남도 창원시 의창구 북면 천주로 1085,북면주민자치회,055-298-6588,,132.2,,35.347947,128.6073132,2024-12-05
봉림작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,27,14645,10,16,5,14,경상남도 창원시 의창구 창이대로259번길 19(봉곡동),(재)한가람문화재단,055-265-6087,,118.8,,35.24782998,128.666819,2024-12-05
용지호수어울림도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,20,4391,3,25,3,14,경상남도 창원시 성산구 용지로211번길 21(용지동),용지동주민자치회,070-8807-0075,,41,,35.23383362,128.682604,2024-12-05
반림작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,18:00,00:00,00:00,44,18302,5,969,5,14,"경상남도 창원시 성산구 반송로 105(반림동, 럭키A’)",반림마을도서위원회,055-261-9223,,138.6,,35.23879258,128.6689248,2024-12-05
늘푸른도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,21,17463,13,0,5,14,경상남도 창원시 성산구 외동반림로134번길 15(중앙동),중앙동새마을문고회,055-281-3342,,165,,35.229753,128.6741132,2024-12-05
대동디지털마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,43,14558,4,0,3,14,"경상남도 창원시 성산구 창이대로881번길 8(대방동, 대동디지털A’)",대동디지털황토방아파트입주자대표회의,055-603-3087,,229.81,,35.20625561,128.7073881,2024-12-05
사파동성마을작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,32,17231,54,178,3,14,"경상남도 창원시 성산구 창이대로 737(사파동, 사파동성A’)",사파동성아파트입주자대표회의,055-263-8216,,96,,35.21896394,128.7050223,2024-12-05
안민마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,36,14564,7,0,5,14,경상남도 창원시 성산구 안민안길 34(안민동),성주동주민자치회,055-281-5520,,131,,35.18723721,128.692676,2024-12-05
안민청솔마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:30,17:00,00:00,00:00,138,15317,4,0,5,14,경상남도 창원시 성산구 안민로117번길 17(안민동),성주동주민자치회,055-264-0129,,170.05,,35.18740864,128.6897059,2024-12-05
반월작은도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,15541,0,0,5,14,경상남도 창원시 마산합포구 3·15대로 121(중앙동1가),반월중앙동주민자치회,055-221-8160,,204.95,,35.19036173,128.562451,2024-12-05
부림희망작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,25,10411,5,33,3,14,경상남도 창원시 마산합포구 3·15대로 351(부림동),오동동새마을문고,055-222-0531,,84,,35.20627383,128.5729547,2024-12-05
무학산블루밍작은도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,40,10427,0,159,5,14,"경상남도 창원시 마산합포구 노산서18길 142(교방동, 벽산블루밍A’) 2단지",마산무학산블루밍아파트입주자대표회의,055-245-5730,,175,,35.21607751,128.5625775,2024-12-05
현동작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,26,8971,0,0,5,14,경상남도 창원시 마산합포구 현동7길 27(현동),현동주민자치회,055-221-0223,,106.08,,35.14988761,128.5537934,2024-12-05
꿈꾸는산호작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,29,7489,2,0,10,14,경상남도 창원시 마산합포구 용마로 30(여성회관 마산관 1층),(사)한국인성교육학회,055-604-1615,,89,,35.21649814,128.5790896,2024-12-05
고운작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,30,6515,8,0,3,14,경상남도 창원시 마산합포구 월영마을로 3(월영동),월영동주민자치회,070-7798-1612,,97.44,,35.17375179,128.5580464,2024-12-05
신추산작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,21,3264,3,0,5,14,경상남도 창원시 마산합포구 문신길 169(오동동),㈜라온아트앤컬처,055-245-5035,,178.36,,35.20706717,128.5696019,2024-12-05
상곡어울림작은도서관,경상남도,창원시,작은도서관,월+일+국가지정 공휴일,09:00,18:00,10:00,15:00,00:00,00:00,50,14032,22,93,3,14,경상남도 창원시 마산회원구 내서읍 상곡로 16,(사)창원시새마을회,055-231-4204,,188,,35.24279619,128.5037042,2024-12-05
합성가고파작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,10:00,17:00,00:00,00:00,30,12271,0,180,5,14,경상남도 창원시 마산회원구 합성서3길 21(합성동),합성1동주민자치회,055-253-5583,,114,,35.24218587,128.5838997,2024-12-05
봉암동작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,10206,1,31,4,14,경상남도 창원시 마산회원구 봉암북2길 31(봉암동),㈜라온아트앤컬처,055-292-5760,,105.38,,35.22128334,128.5972012,2024-12-05
여좌작은도서관,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,09:00,18:00,10:00,16:00,00:00,00:00,36,4348,0,0,5,14,경상남도 창원시 진해구 여좌천로 64-1(여좌동),블라썸여좌사회적협동조합,055-546-9294,,150,,35.15867283,128.6602155,2024-12-05
장천마을작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,15:00,00:00,00:00,42,5609,0,31,5,14,경상남도 창원시 진해구 충장로672번길 9-1(장천동),풍호동주민자치회,055-541-4205,,122.66,,35.12932964,128.7032214,2024-12-05
위드파크환경도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,64,14102,4,177,5,14,"경상남도 창원시 성산구 가양로 99(남양동, 위드파크A’)",창원환경교육센터,055-262-5944,,255.29,,35.2090325,128.703341,2024-12-05
숲속마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,10:00,16:00,00:00,00:00,65,13068,0,159,4,14,경상남도 창원시 마산회원구 내서읍 삼계본동1길 86 숲속마을3단지 복지관 2층,송순호,055-252-0882,,107.88,,35.23181947,128.4966026,2024-12-05
이미지작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,33,17926,0,99,2,14,경상남도 창원시 마산회원구 내서읍 광려로 29(대동이미지아파트),김근영(입주자대표회),055-294-9537,,108,,35.22401271,128.5032557,2024-12-05
책사랑내서마을도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,10:00,16:00,00:00,00:00,48,20169,413,492,5,14,경상남도 창원시 마산회원구 내서읍 광려천북로 202 코오롱1차 관리동3층,도란도란책사랑회,055-297-4724,,99.174,,35.26765408,128.5239009,2024-12-05
하늘채작은도서관,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,10:00,16:00,00:00,00:00,70,17031,20,186,3,14,경상남도 창원시 마산회원구 내서읍 호원로 359 코오롱하늘채2차아파트,안관호(입주자대표회),055-292-0484,,218.7,,35.26563408,128.5243422,2024-12-05
내서읍새마을문고,경상남도,창원시,작은도서관,일+국가지정 공휴일,13:00,17:00,00:00,00:00,00:00,00:00,6,9043,0,0,5,14,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,새마을문고내서읍분회,055-231-3604,,33,,35.24678411,128.5076502,2024-12-05
회원1동새마을문고,경상남도,창원시,작은도서관,일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,25,8465,7,0,5,14,경상남도 창원시 마산회원구 회원동11길 7(회원동),새마을문고회원1동분회,055-248-8427,,66.8,,35.21837816,128.5740841,2024-12-05
석전동새마을문고,경상남도,창원시,작은도서관,일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,27,11618,0,0,5,14,경상남도 창원시 마산회원구 석전4길 52(석전동),새마을문고석전동분회,070-8887-5816,,66,,35.23027923,128.5731149,2024-12-05
회성동새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,14:00,18:00,10:00,14:00,00:00,00:00,10,10255,0,0,5,14,경상남도 창원시 마산회원구 북성로 327(회성동),새마을문고회성동분회,055-230-4936,,68.04,,35.23305786,128.5616938,2024-12-05
양덕1동새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,6,10676,0,0,5,24,경상남도 창원시 마산회원구 팔용로 25(양덕동),새마을문고양덕1동분회,055-255-0330,,36,,35.23230004,128.586187,2024-12-05
양덕2동새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,20,14382,0,0,5,14,경상남도 창원시 마산회원구 율림교로 3(양덕동),새마을문고양덕2동분회,055-294-5058,,90.4,,35.22917645,128.5839085,2024-12-05
합성2동새마을문고,경상남도,창원시,작은도서관,일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,32,11654,0,0,10,14,경상남도 창원시 마산회원구 합성남8길 46(합성동),새마을문고합성2동분회,055-299-1908,,64.9,,35.2390217,128.5867711,2024-12-05
구암1동새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,14:00,18:00,13:00,17:00,00:00,00:00,15,10272,0,21,5,14,경상남도 창원시 마산회원구 구암서7길 9(구암동),새마을문고구암1동분회,055-255-8722,,165.11,,35.24976363,128.5928012,2024-12-05
구암2동새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,13:00,18:00,00:00,00:00,00:00,00:00,12,12462,0,0,5,14,경상남도 창원시 마산회원구 구암남16길 12(구암동),새마을문고구암2동분회,055-251-2477,,68.04,,35.24901286,128.5984288,2024-12-05
대동다숲새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,13:00,17:00,00:00,00:00,00:00,00:00,21,9631,1,37,5,14,"경상남도 창원시 진해구 행암로 25(장천동, 진해 장천 대동 다숲아파트) 114동 1층",대동다숲새마을문고,070-7760-8893,,91.4,,35.12923074,128.704756,2024-12-05
우성아파트새마을문고,경상남도,창원시,작은도서관,일+국가지정 공휴일,13:00,17:00,00:00,00:00,00:00,00:00,21,12665,0,0,5,14,경상남도 창원시 진해구 충장로 575 우성아파트관리소,새마을문고풍호동분회,055-547-0331,,60,,35.1379688,128.7027353,2024-12-05
한림리츠빌새마을문고,경상남도,창원시,작은도서관,토+일+국가지정 공휴일,13:00,17:00,10:00,13:00,00:00,00:00,20,10897,0,0,5,14,경상남도 창원시 진해구 풍호로 68 한림리츠빌관리소,한림리츠빌아파트부녀회,055-980-6413,,34.99,,35.13866072,128.7095025,2024-12-05
